ID,Groups,Description,Baseline [02-12 23:05]
BB-OPT-8,OptionDefinition > option factory,Creates single-value option [2026-02-12],OK/OK
BB-OPT-9,OptionDefinition > option factory,Creates option with all fields [2026-02-12],OK/OK
BB-TDF-15,ToolDefinition > visibleCommands,Returns non-hidden commands [2026-02-12],OK/OK
BB-OPT-10,OptionDefinition > multi factory,Creates multi-value option [2026-02-12],OK/OK
BB-TDF-16,ToolDefinition > visibleCommands,Returns empty list when all hidden [2026-02-12],OK/OK
BB-OPT-11,OptionDefinition > multi factory,Creates multi-value option with all fields [2026-02-12],OK/OK
BB-OPT-12,OptionDefinition > usage,Generates usage for flag without abbr [2026-02-12],OK/OK
BB-TDF-17,ToolDefinition > allGlobalOptions,Includes custom global options [2026-02-12],OK/OK
BB-TDF-18,ToolDefinition > allGlobalOptions,Includes common options [2026-02-12],OK/OK
BB-OPT-13,OptionDefinition > usage,Generates usage for flag with abbr [2026-02-12],OK/OK
BB-TDF-19,ToolDefinition > allGlobalOptions,Includes dry-run when feature enabled [2026-02-12],OK/OK
BB-OPT-14,OptionDefinition > usage,Generates usage for option with value name [2026-02-12],OK/OK
BB-TDF-20,ToolDefinition > allGlobalOptions,Dry-run is always present via commonOptions [2026-02-12],OK/OK
BB-OPT-15,OptionDefinition > usage,Generates usage for option without abbr [2026-02-12],OK/OK
BB-TDF-21,ToolDefinition > allGlobalOptions,Includes json when feature enabled [2026-02-12],OK/OK
BB-OPT-16,OptionDefinition > usage,Generates usage for multi option [2026-02-12],OK/OK
BB-TDF-22,ToolDefinition > allGlobalOptions,Includes interactive when feature enabled [2026-02-12],OK/OK
BB-TDF-23,ToolDefinition > toString,Returns descriptive string [2026-02-12],OK/OK
BB-OPT-17,OptionDefinition > toString,Returns descriptive string [2026-02-12],OK/OK
BB-OPT-18,Standard option definitions,projectTraversalOptions contains expected options [2026-02-12],OK/OK
BB-TDF-24,Complete tool definition,Creates realistic tool definition [2026-02-12],OK/OK
BB-OPT-19,Standard option definitions,Scan option has correct attributes [2026-02-12],OK/OK
